name,munsell,description,rgb,systemcolorname
鴇色（ときいろ）,7RP 7.5/8,ドキの翼の内側や風切羽、尾羽などは明るいピンクをしているが、その色からとられた近世和装で流行した色名。トキの体色は一見すると白だが、飛ぶときにはピンクが見える。音は日本各地に生息していたので、人々はその色も知っていたのだろう。,#F9A1D0,明るい紫みの赤
韓紅花（からくれない）,1.5R 5.5/13,日本で呉(くれ)と呼んだ中国の地域から渡来した染料という意味で、 紅花の赤を「呉藍(くれない)」と呼んでいたことに由来する。平安時代から使われるようになった伝統的な色名。王朝貴族に愛された紅の色だった。,#E3557F,あざやかな赤
蘇芳（すおう）,4R 4/7,インド、マレー半島などを原産地とするマメ科植物の心材を原料とし、 その煎汁を染料として染めた色の色名。マレー語のsapang の音に中国人が漢字をあてたのでいろいろな表記がある。この染料は奈良時代にすでに日本に渡来していた。,#974B52,くすんだ赤
鳶色（とびいろ）,7.5R 3.5/5,トビは「とんび」ともいう鳥のことで、 その羽のような色のこと。鳥の羽の色からとられた色名としては鶸色 (ひわいろ)に次いで古いが、それでも近世のこと。江戸時代の前期から用いられるようになった茶色染色の色名。,#7D483E,暗い黄みの赤
海老茶（えびちゃ）,8R 3/4.5,葡萄(ぶどう)の古名を「えび」といった。平安時代の「えびいろ」は山菊萄の果実のような暗い赤業のこと。 近世に葡萄を「えび」とは読まなくなったので、海老の字が当てられて海老茶になった。,#6D3D33,暗い黄みの赤
弁柄色（べんがらいろ）,8R 3.5/7,インド半島北東部のベンガル地方で産出する天然の酸化鉄からつくった赤色に由来する。ベンガルのあて字なのでいろいろな表記がある。酸化第二鉄を使った色の。 般的な色名として、江戸時代には広く用いられるようになった。,#8A4031,暗い黄みの赤
黄丹（おうに）,10R 6/12,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。「おうたん」とも読む。紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色(きんじき)とされていた。,#EF6D3E,つよい黄赤
桧皮色（ひわだいろ）,1YR 4.3/4,桧(ひのき)の樹皮のような茶色の色名。ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。平安時代以来の伝統的な色名。,#8A604F,暗い灰みの黄赤
代赭（たいしゃ）,2.5YR 5/8.5,天然の土からつくる絵の具の原料として、東洋では中国の山西省代州産の赭土(あかつち)が有名で、その土の酸化鉄を使った絵の具の色を代赭色と呼んだ。やがて代赭は一般の酸化鉄を使った絵の具の通称になった。,#BA6432,くすんだ黄赤
柑子色（こうじいろ）,5.5YR 7.5/9,コウジミカンの実のような色を表す平安時代からの伝統的な色名。 「こうじ」は「かんじ」の変化した語とのこと。蜜柑色(みかんいろ)、オレンジ色などのルーツ。日本語の黄赤を代表する古い色名である。,#FFA75E,明るい黄赤
琥珀色（こはくいろ）,8YR 5.5/6.5,琥珀は植物の樹脂が化石になったもので、そのような色を表す。古名は赤玉、または「くはく」といった。 日本語の色名で宝石からとられたものは珍しいが、色名として用いられたのは近代のこと。酒類の色を形容するときによく使われる。,#C67400,くすんだ赤みの黄
朽葉色（くちばいろ）,10YR 5/2,朽ちた落ち葉のような色。この色を中心に、赤みがあれば赤朽葉、黄みは黄朽葉、緑みがあれば青朽葉と呼び分けた。ほかにも朽葉のつく色名がいくつかある。伝統的な色名の中でも特に晩秋の季節感が濃厚な、平安中期からの色名。,#897868,灰みの赤みを帯びた黄
鬱金色（うこんいろ）,2Y 7.5/12,ショウガ科の植物であるウコンの根で染めた黄の色名。ウコンは原産地の熱帯アジアでは古くから知られていたが、日本では中世末から用いられるようになった。今でも漬物のたくあんの着色やカレー粉の原料などに使用されている。,#FCAC00,つよい黄
刈安色（かりやすいろ）,7Y 8.5/7,奈良時代から黄の染色に用いられてきたイネ科の刈安草は、刈りやすいからこの名がつけられたという。単独で黄を染めるほか、緑を染めるための藍の下染めによく用いられた。古来の染色技術から生まれた伝統的な色名。,#EED67E,うすい緑みの黄
黄蘗色（きはだいろ）,9Y 8/8,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。防虫効果があることから奈良時代から染め紙に用いられ、 藍との重ね染めで緑や藍色の染色にも用いられていた。古来の染色材料を今に記録する伝統的な色名の一つ。,#D9CB65,明るい黄緑
海松色（みるいろ）,9.5Y 4.5/2.5,海藻の一種であるミルは、「万葉集」に海松を詠みこんだ歌が出てくるほど、広く知られていたらしい。現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,#736F55,暗い灰みの黄緑
鶸色（ひわいろ）,1GY 7.5/8,黄緑色をした小鳥のヒワの羽の色から名づけられた色名。鳥の羽毛からとられた色名としては古く、中世の終わりには用いられていたとされる。カナリヤが渡来する前は唯一の黄色い鳥だったので金翅雀色と書かれている例もある。,#C2C05C,つよい黄緑
常磐色（ときわいろ）,3G 4.5/7,松や杉といった常緑樹の葉のような色を表す色名。常緑樹の葉の色が緑色で年中変わらないところから、永久に変わらない色という美称として用いられた。英語のエバーグリーンの同類である。,#357C4C,こい緑
緑青色（ろくしょういろ）,4G 5/4,石緑(せきりょく)、孔雀(くじゃく)石からつくられる緑色の色名。炭酸銅、 水酸化銅などを主成分とする。銅の錆のような緑色のことでもある。 古来、絵画の緑色絵の具の代表的なものとしても知られている。,#5F836D,くすんだ緑
鉄色（てついろ）,2.5BG 2.5/2.5,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,#244344,ごく暗い青緑
新橋色（しんばしいろ）,2.5B 6.5/5.5,明治末から大正にかけて流行した、 東京・新橋の芸者衆が好んだ着物の色からの色名。新橋芸者は新しいもの好きで、彼女たちがいち早く化学染料の色を取り入れたため、それが新鮮に見えたのだろう。 ローカルな町名が色名になった珍しい例。,#69AAC6,明るい緑みの青
納戸色（なんどいろ）,4B 4/6,納戸(物置部屋)の暗がりの色、納戸の幕の色、納戸方の役人の衣服の色など、この色名の説明には諸説があるが、一度にたくさん藍染めをしてそれを納戸にしまっておいたから、という説もある。江戸時代の代表的な藍染めの青の色名。「御納戸色」ともいう。,#166A88,つよい緑みの青
甕覗き（かめのぞき）,4.5B 7/4,別名「のぞきいろ(覗き色)」。糸や布が藍がめをちょっとのぞいただけという意味。当然、ごく薄い藍染めの青になる。中世は薄い藍色を一入染(ひとしおそめ)といった。これは藍がめの中に1回布をくぐらせただけという染色であった。,#8CB4CE,やわらかい緑みの青
縹色（はなだいろ）,3PB 4/7.5,藍染めの代表的な青を表す色名。縹は漂から転じた字で藍汁の中に糸がただようことを表していたといわれる。奈良時代からの古い色名だが、中世には花田と書くようになり、近世には花色になった。この花は露草の青い花のことである。,#3C639B,つよい青
藤色（ふじいろ）,10PB 6.5/6.5,藤の花房の色からとられた藤色は、 明るい青紫を表す代表的な色名。平安時代から使われている伝統的な色名で、清少納言の「枕草子」 の一節にも「めでたきもの」の典型として藤の花が登場している。,#A09BD8,明るい青紫
江戸紫,3P 3.5/7,紫を染める紫草は武蔵野(現在の東京郊外)でよく知られていた。名物の少ない新興都市江戸では紫の染色は江戸っ子の自慢の色で、 江戸名物を取り上げた蜀山人(しょくさんじん)の狂歌や川柳にも紫が入っている。伝統的な京紫より青みがあるといわれている。,#5F4C86,こい青みの紫
古代紫（こだいむらさき）,7.5P 4/6,江戸紫のような近世の紫は今紫、 それに対して伝統的な昔ながらの紫を古代紫と称した。この区別を必要としたのは今紫(いまむらさき)ができたから、ということでこれも近世の色名ということになる。,#775686,くすんだ紫
銀鼠（ぎんねず）,N6.5,銀は「しろがね」と呼ばれ、色の形容としては白の美称でもあったので、白に近い灰色の色名になった。 江戸時代の無彩色を代表する色名は灰色ではなく鼠色。昔からグレイがもっていた不吉なイメージを、鼠と呼ぶことで粋な流行色に変えた。,#A0A0A0,明るい灰色
茶鼠（ちゃねずみ）,5YR 6/1,華美を禁じられた江戸時代に、四十八茶百鼠(しじゅうはっちゃひゃくねず)として大流行した、粋とされた色の一つ。当時は茶気鼠(ちゃけねず) といわれた。茶色みの灰色のことであるが、系統色名では黄赤みの灰色となっている。,#9F9190,黄赤みの灰色
利休鼠（りきゅうねずみ）,2.5G 5/1,利休色は千利休好みの色とされるが、利休が自ら名づけたわけではない。後世の利休のイメージから生まれた色名。抹茶の連想から、利休は緑みのある色の修飾語となるので、利休とつく色はすべて渋い緑みの色である。,#787C7A,緑みの灰色
煤竹色（すすたけいろ）,9.5YR 3.5/1.5,煤けて赤黒くなった竹のような色を表す。昔は煤払いに竹を用いた。 この煤払い用の竹が煤竹である。青竹や若竹より煤竹のほうが早く色名になったのは庶民生活の身近にあったからといえる。近世初期にすでにこの色名が登場している。,#605448,赤みを帯びた黄みの暗い灰色
ローズピンク,10RP 7/8,変みを帯びたピンク色のバラの花にちなむ色名。ローズという色名は、 花の名からとられた英語の色名としては最古のものとされ、最初はレッドとピンクの両方を表していた。 JISにはローズレッドという色名もある。,#EF93B6,明るい紫みの赤
バーガンディ,10RP 2/2.5,フランスのブルゴーニュ産の赤ワインのような色を表す色名。バーガンディーはブルゴーニュの英語名。色名の誕生は1915年と新しい。,#452A35,ごく暗い紫みの赤
オールドローズ,1R 6/6.5,イギリスのビクトリア朝でもてはやされた流行色の色名。英語の色名にオールドという形容がつくと、古い、昔の、という連想から、くすんだ色、グレイッシュな色ということになる。つまりややくすんだ灰みのバラ色ということ。,#C97F96,やわらかい赤
ポピーレッド,4R 5/14,ポピーは日本語ではヒナゲシのこと。 イギリスでは麦畑に自生するありぶれた花らしい。花の色には赤、ピンク、白などがあるが、そのうちの赤い花が英語の色名として選ばれた。 色名になったのは比較的早く、 1705年といわれている。,#DD4157,あざやかな赤
マルーン,5R 2.5/6,スペイン産の大粒の栗の名前がイタリア語でマローネ、フランス語でマロン、さらに英語でマルーンという色名になった。英語には栗の実の表皮の色のような茶色を表すチェスナットブラウンがあるが、マルーンはそれより赤みのある色をいう。,#682A2B,暗い赤
