name,munsell,description,rgb,systemcolorname
鉄色（てついろ）,2.5BG 2.5/2.5,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,#244344,ごく暗い青緑
新橋色（しんばしいろ）,2.5B 6.5/5.5,明治末から大正にかけて流行した、 東京・@@の芸者衆が好んだ着物の色からの色名。@@芸者は新しいもの好きで、彼女たちがいち早く化学染料の色を取り入れたため、それが新鮮に見えたのだろう。 ローカルな町名が色名になった珍しい例。,#69AAC6,明るい緑みの青
納戸色（なんどいろ）,4B 4/6,@@(物置部屋)の暗がりの色、@@の幕の色、@@方の役人の衣服の色など、この色名の説明には諸説があるが、一度にたくさん藍染めをしてそれを@@にしまっておいたから、という説もある。江戸時代の代表的な藍染めの青の色名。「御@@色」ともいう。,#166A88,つよい緑みの青
甕覗き（かめのぞき）,4.5B 7/4,別名「のぞきいろ(覗き色)」。糸や布が藍がめをちょっとのぞいただけという意味。当然、ごく薄い藍染めの青になる。中世は薄い藍色を一入染(ひとしおそめ)といった。これは藍がめの中に1回布をくぐらせただけという染色であった。,#8CB4CE,やわらかい緑みの青
縹色（はなだいろ）,3PB 4/7.5,藍染めの代表的な青を表す色名。@は漂から転じた字で藍汁の中に糸がただようことを表していたといわれる。奈良時代からの古い色名だが、中世には花田と書くようになり、近世には花色になった。この花は露草の青い花のことである。,#3C639B,つよい青
藤色（ふじいろ）,10PB 6.5/6.5,@の花房の色からとられた@@は、 明るい青紫を表す代表的な色名。平安時代から使われている伝統的な色名で、清少納言の「枕草子」 の一節にも「めでたきもの」の典型として@の花が登場している。,#A09BD8,明るい青紫
ピーコックグリーン,7.5BG 4.5/9,孔雀の羽の緑色のような色の色名。 本来、@@はブルーの色名で 16世紀の終わりから使用されていた。19世紀にグリーンも色名になったが、どちらで呼ぶのが正しいと決めることはできない。現在はブルーとグリーンの両方が用いられている。,#007F91,あざやかな青緑
ナイルブルー,10BG 5.5/5,1880年代にナイル川の名前がつく色名が登場した。ナイルブルーが先で、その後、ナイルグリーンが色名になった。ナイルが青や緑の川として美化されて記憶されたのだろう。 アメリカの色名辞典ではグリーンのほうが太字で書かれている。,#5190A4,くすんだ青緑
セルリアンブルー,9B 4.5/9,16世紀に英語の色名になった@@はスカイブルーの一種だった。ところが19世紀に錫酸コバルト化合物からつくられた美しい青の絵の具が工場生産されるようになり、 その色に@@の色名が与えられた。,#0B74AF,あざやかな青
サックスブルー,1PB 5/4.5,@@はドイツ東部の州であるザクセンの英語名。「サクソン人の青」という意味。藍染めの名前として広く一般に用いられるようになり、 主に繊維製品のための色名となった。,#627DA1,くすんだ青
ミッドナイトブルー,5PB 1.5/2,真夜中の青という意味の、暗い紺色を表す商業的な色名として成功したものの一つ。20世紀初めに登場した流行色の色名である。それまでよく知られていたネービーブル ―よりも暗い紺色の色名として広く用いられるようになった。,#00152D,ごく暗い紫みの青
ウイスタリア,10PB 5/12,@@は藤の英語名。19世紀末にこの色の化学染料ができたために出現した色名である。同じ藤の花の色を語源とする色に藤色があるが、藤色は明るい青紫。@@は鮮やかな青紫で微妙に違う。,#776ED2,あざやかな青紫
浅葱色（あさぎいろ）,2.5B 5/8,染色の色名としては青と緑の中間色相を表す。平安時代に薄い黄染めを表す浅黄という色名があり、紛らわしいとされた。@@は葱(ねぎ)の若芽のような色という意味。 葱の色より青寄りの色で、明るい藍染めの色の色名として用いられた。,#0087AA,あざやかな緑みの青
空色（そらいろ）,9B 7.5/5.5,天候により空の色はさまざまに変わるが、これは晴天の青空の色を表す色名。英語ではスカイブルー。 多くの言語で@@は@@と呼ばれている。古くから一般的な色名として知られている色である。,#95C0EC,明るい青
藍色（あいいろ）,2PB 3/5,藍染めの起源は神話、伝説の時代にさかのぼるほど古く、藍は人類最古の植物染料といわれる。日本ではタデアイ (蓼藍)が用いられてきた。 19世紀末に藍染めは化学染料になるが、その色と色名は昔のまま藍色、インディゴで通用する。,#2E4B71,暗い青
瑠璃色（るりいろ）,6PB 3.5/11,古代インドや中国で珍重された、青い宝石の瑠璃のような色を表す。 平安初期にはこの色名が生まれている。瑠璃は仏教では七宝の一つにあげられる。おそらく瑠璃は青い宝石ラピスラズリのことである。,#3451A4,こい紫みの青
杜若色（かきつばたいろ）,7PB 4/10,アヤメ科の植物である@@の花のような色のこと。5~6月の初夏に咲く花で、花の色は一般的に青紫とされることが多い。この花の汁を擦りつけて布を染めていたことから、古くは「書きつけ花」と呼ばれており、それが転じて@@となったといわれる。,#4C5DAB,あざやかな紫みの青
桔梗色（ききょういろ）,9PB 3.5/13,@@の花のような青紫色の伝統的な色名。昔は「きかういろ」とも呼ばれたそうである。近世では染色の色名として用いられてきた。旧暦の初秋の気配を感じさせる色名の一つである。,#4A49AD,こい青紫
群青色（ぐんじょういろ）,7.5PB 3.5/11,青の集まりを意味する伝統的な色名。群青は藍銅鉱(らんどうこう)という鉱物を原料とする、日本画の代表的な青色絵の具の色名であるが、そのような色のことも@@という。一般にもよく知られた色名である。,#414FA3,こい紫みの青
ターコイズブルー,5B 6/8,@@はトルコ石として知られる宝石で、青と緑の中間色相の色を表す色名としてよく用いられる。 英語の色名になったのは16世紀後半のことで、@@はブルーとグリーンの両方の色名に使われてきた。,#399ECC,明るい緑みの青
マリンブルー,5B 3/7,この色名の由来は、ヨーロッパ諸国の水夫、水兵などの海軍従事者が伝統的に藍染めの制服を着用していたことにある。19世紀初期には、流行色としてよく知られるようになった。近代の海軍の制服は化学染料に変わったが藍色に変わりはない。,#005175,こい緑みの青
シアン,7.5B 6/10,古代ギリシャ語で「暗い」という意味のcyanosという言葉から派生した色名とされている。印刷、カラーフィルム、染色などの減法混色による色再現では、シアンは三原色の一つとしてあげられている。,#219DDD,明るい青
スカイブルー,9B 7.5/5.5,16世紀まで空色は、英語ではスカイまたはスカイカラーと呼ばれた。 @@になったのは18世紀になってから。その頃、空の色を呼び分ける色名がいくつもできた。在天の神を信じる民族には、空色だけではすまなくなったのである。,#95C0EC,明るい青
ベビーブルー,10B 7.5/3,欧米で乳幼児服の標準色として用いられてきた色の色名。ベビーピンクよりも早くから使われていたが、それでも19世紀末のこと。青は聖母マリアの色で、その色を生まれた子どもに着せたいという願いを母親が抱いていたということである。,#ABBDDA,明るい灰みの青
コバルトブルー,3PB 4/10,コバルトアルミン酸塩を主成分とするこの色が1777年に発見されたときに色名は登場。多くの画家達がこの色の絵の具を使うことができるようになったのは19世紀中頃から。印象派の画家たちが恩恵を一番受けた。海の色の形容に用いることも多い色名。,#2863AB,あざやかな青
ネービーブルー,6PB 2.5/4,イギリス海軍の制服の色といえば濃い藍染めの青と決まっていたので、日本でいう紺色は19世紀には英語でネービーブルーの通称で呼ばれていた。今では海軍の色というよりは紺色の一般的な流行色の色名として知られている。,#333C5E,暗い紫みの青
ウルトラマリンブルー,7.5PB 3.5/11,瑠璃という青い宝石は、ヨーロッパへは青い石を意味するラピスラズリとして渡来した。その粉末は貴重な着色剤となり、海の彼方から渡ってきたということを伝える@@という色名が生まれた。,#414FA3,こい紫みの青
バイオレット,2.5P 4/11,青紫系の英語の色名としては最も古いものの一つ。@@はスミレ属の総称で、スミレの花の色を表す色名。可視スペクトルを発見したニュートンは、虹の七色の一番波長が短い色を@@と呼んだ。,#6D52AB,あざやかな青紫
