name,munsell,description,rgb,systemcolorname
黄丹（おうに）,10R 6/12,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。「おうたん」とも読む。紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色(きんじき)とされていた。,#EF6D3E,つよい黄赤
新橋色（しんばしいろ）,2.5B 6.5/5.5,明治末から大正にかけて流行した、 東京・@@の芸者衆が好んだ着物の色からの色名。@@芸者は新しいもの好きで、彼女たちがいち早く化学染料の色を取り入れたため、それが新鮮に見えたのだろう。 ローカルな町名が色名になった珍しい例。,#69AAC6,明るい緑みの青
納戸色（なんどいろ）,4B 4/6,@@(物置部屋)の暗がりの色、@@の幕の色、@@方の役人の衣服の色など、この色名の説明には諸説があるが、一度にたくさん藍染めをしてそれを@@にしまっておいたから、という説もある。江戸時代の代表的な藍染めの青の色名。「御@@色」ともいう。,#166A88,つよい緑みの青
甕覗き（かめのぞき）,4.5B 7/4,別名「のぞきいろ(覗き色)」。糸や布が藍がめをちょっとのぞいただけという意味。当然、ごく薄い藍染めの青になる。中世は薄い藍色を一入染(ひとしおそめ)といった。これは藍がめの中に1回布をくぐらせただけという染色であった。,#8CB4CE,やわらかい緑みの青
縹色（はなだいろ）,3PB 4/7.5,藍染めの代表的な青を表す色名。@は漂から転じた字で藍汁の中に糸がただようことを表していたといわれる。奈良時代からの古い色名だが、中世には花田と書くようになり、近世には花色になった。この花は露草の青い花のことである。,#3C639B,つよい青
江戸紫,3P 3.5/7,紫を染める紫草は武蔵野(現在の東京郊外)でよく知られていた。名物の少ない新興都市江戸では紫の染色は江戸っ子の自慢の色で、 江戸名物を取り上げた蜀山人(しょくさんじん)の狂歌や川柳にも紫が入っている。伝統的な京紫より青みがあるといわれている。,#5F4C86,こい青みの紫
古代紫（こだいむらさき）,7.5P 4/6,江戸紫のような近世の紫は今紫、 それに対して伝統的な昔ながらの紫を古代紫と称した。この区別を必要としたのは今紫(いまむらさき)ができたから、ということでこれも近世の色名ということになる。,#775686,くすんだ紫
銀鼠（ぎんねず）,N6.5,銀は「しろがね」と呼ばれ、色の形容としては白の美称でもあったので、白に近い灰色の色名になった。 江戸時代の無彩色を代表する色名は灰色ではなく鼠色。昔からグレイがもっていた不吉なイメージを、鼠と呼ぶことで粋な流行色に変えた。,#A0A0A0,明るい灰色
茶鼠（ちゃねずみ）,5YR 6/1,華美を禁じられた江戸時代に、四十八茶百鼠(しじゅうはっちゃひゃくねず)として大流行した、粋とされた色の一つ。当時は茶気鼠(ちゃけねず) といわれた。茶色みの灰色のことであるが、系統色名では黄赤みの灰色となっている。,#9F9190,黄赤みの灰色
利休鼠（りきゅうねずみ）,2.5G 5/1,利休色は千利休好みの色とされるが、利休が自ら名づけたわけではない。後世の利休のイメージから生まれた色名。抹茶の連想から、利休は緑みのある色の修飾語となるので、利休とつく色はすべて渋い緑みの色である。,#787C7A,緑みの灰色
