name,munsell,description,rgb,systemcolorname
鳶色（とびいろ）,7.5R 3.5/5,トビは「とんび」ともいう鳥のことで、 その羽のような色のこと。鳥の羽の色からとられた色名としては鶸色 (ひわいろ)に次いで古いが、それでも近世のこと。江戸時代の前期から用いられるようになった茶色染色の色名。,#7D483E,暗い黄みの赤
海老茶（えびちゃ）,8R 3/4.5,葡萄(ぶどう)の古名を「えび」といった。平安時代の「えびいろ」は山菊萄の果実のような暗い赤業のこと。 近世に葡萄を「えび」とは読まなくなったので、海老の字が当てられて海老茶になった。,#6D3D33,暗い黄みの赤
弁柄色（べんがらいろ）,8R 3.5/7,インド半島北東部のベンガル地方で産出する天然の酸化鉄からつくった赤色に由来する。ベンガルのあて字なのでいろいろな表記がある。酸化第二鉄を使った色の。 般的な色名として、江戸時代には広く用いられるようになった。,#8A4031,暗い黄みの赤
桧皮色（ひわだいろ）,1YR 4.3/4,桧(ひのき)の樹皮のような茶色の色名。ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。平安時代以来の伝統的な色名。,#8A604F,暗い灰みの黄赤
海松色（みるいろ）,9.5Y 4.5/2.5,海藻の一種であるミルは、「万葉集」に海松を詠みこんだ歌が出てくるほど、広く知られていたらしい。現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,#736F55,暗い灰みの黄緑
鉄色（てついろ）,2.5BG 2.5/2.5,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,#244344,ごく暗い青緑
煤竹色（すすたけいろ）,9.5YR 3.5/1.5,煤けて赤黒くなった竹のような色を表す。昔は煤払いに竹を用いた。 この煤払い用の竹が煤竹である。青竹や若竹より煤竹のほうが早く色名になったのは庶民生活の身近にあったからといえる。近世初期にすでにこの色名が登場している。,#605448,赤みを帯びた黄みの暗い灰色
バーガンディ,10RP 2/2.5,フランスのブルゴーニュ産の赤ワインのような色を表す色名。バーガンディーはブルゴーニュの英語名。色名の誕生は1915年と新しい。,#452A35,ごく暗い紫みの赤
マルーン,5R 2.5/6,スペイン産の大粒の栗の名前がイタリア語でマローネ、フランス語でマロン、さらに英語でマルーンという色名になった。英語には栗の実の表皮の色のような茶色を表すチェスナットブラウンがあるが、マルーンはそれより赤みのある色をいう。,#682A2B,暗い赤
バーントアンバー,10YR 3/3,アンバー (umber)はイタリアのウンプリア地方の英語名といわれる。 トスカナと並んでウンブリアの土も色が美しく、天然の顔料として西洋諸国で有名だった。その土を焼いて暗褐色にした絵の具の色で、画家のパレットには欠かせないものだった。,#5B462A,ごく暗い赤みの黄
