name,munsell,description,rgb,systemcolorname
蘇芳（すおう）,4R 4/7,インド、マレー半島などを原産地とするマメ科植物の心材を原料とし、 その煎汁を染料として染めた色の色名。マレー語のsapang の音に中国人が漢字をあてたのでいろいろな表記がある。この染料は奈良時代にすでに日本に渡来していた。,#974B52,くすんだ赤
代赭（たいしゃ）,2.5YR 5/8.5,天然の土からつくる絵の具の原料として、東洋では中国の山西省代州産の赭土(あかつち)が有名で、その土の酸化鉄を使った絵の具の色を@@色と呼んだ。やがて代赭は一般の酸化鉄を使った絵の具の通称になった。,#BA6432,くすんだ黄赤
琥珀色（こはくいろ）,8YR 5.5/6.5,@@は植物の樹脂が化石になったもので、そのような色を表す。古名は赤玉、または「くはく」といった。 日本語の色名で宝石からとられたものは珍しいが、色名として用いられたのは近代のこと。酒類の色を形容するときによく使われる。,#C67400,くすんだ赤みの黄
緑青色（ろくしょういろ）,4G 5/4,石緑(せきりょく)、孔雀(くじゃく)石からつくられる緑色の色名。炭酸銅、 水酸化銅などを主成分とする。銅の錆のような緑色のことでもある。 古来、絵画の緑色絵の具の代表的なものとしても知られている。,#5F836D,くすんだ緑
古代紫（こだいむらさき）,7.5P 4/6,江戸紫のような近世の紫は今紫、 それに対して伝統的な昔ながらの紫を古代紫と称した。この区別を必要としたのは今紫(いまむらさき)ができたから、ということでこれも近世の色名ということになる。,#775686,くすんだ紫
テラコッタ,7.5R 4.5/8,イタリア語で「焼いた土」の意味だが、素焼きの陶器などの色のこともいう。@@は古くから用いられていたが、それが英語の色名に取り入れられたのは19世紀の終わり頃のこと。比較的新しい色名である。,#AC5647,くすんだ黄みの赤
バーントシェンナ,10R 4.5/7.5,イタリアのトスカナ地方は美しい土の採掘場として昔から知られていた。 その中心都市がシエナで、そこから名づけられたシェンナ土を焼いて赤みのある褐色絵の具にしたものを@@と呼び、その絵の具のような色をいう色名。,#A8593C,くすんだ黄赤
タン,6YR 5/6,カシ、ナラなどの樹皮から採取した汁はタンニン酸を含み、獣皮をなめすのに使用された。そのなめし革が@@革であり、その色が@@と呼ばれた。16世紀にはすでに英語の他名として記録されている。,#A56F3F,くすんだ黄赤
アンバー,8YR 5.5/6.5,@@は琥珀のこと。この色が琥珀そのものからつくられたわけではなく、琥珀のような色のことをいう。16世紀末にはすでに英語の色名になっていた。日本の琥珀色より、はるかに古いのは宝石文化の違いである。,#B37D40,くすんだ赤みの黄
グラスグリーン,5GY 5/5,英語の色名としては最古のものの一つ。8世紀以前にはすでに知られていたらしい。@@は草の意味。 日本語の準色は雑草の色だが、英語の@@はどうやら牧草の色らしい。メドウグリーンなど、よく似た色の色名がほかにもある。,#7b8d41,くすんだ黄緑
ナイルブルー,10BG 5.5/5,1880年代にナイル川の名前がつく色名が登場した。ナイルブルーが先で、その後、ナイルグリーンが色名になった。ナイルが青や緑の川として美化されて記憶されたのだろう。 アメリカの色名辞典ではグリーンのほうが太字で書かれている。,#5190A4,くすんだ青緑
サックスブルー,1PB 5/4.5,@@はドイツ東部の州であるザクセンの英語名。「サクソン人の青」という意味。藍染めの名前として広く一般に用いられるようになり、 主に繊維製品のための色名となった。,#627DA1,くすんだ青
黄土色（おうどいろ）,10YR 6/7.5,日本画の黄土は水酸化鉄を含む泥土からつくられた絵の具。天然の土である黄土の色の色名でもあるが、黄土は地球の北半球のほとんどでみられる。英語の色名ではイエローオーカーになる。,#C18A39,くすんだ赤みの黄
鶯色（うぐいすいろ）,1GY 4.5/3.5,@@の羽毛のような暗い黄緑色の色名。日本語の色名には動物の毛皮から名づけられた色名は少ない。 が、江戸時代になると身近な鳥の羽毛の色を表す色名がよく見られるようになる。この@@もその一つである。,#71714A,くすんだ黄緑
松葉色（まつばいろ）,7.5GY 5/4,@@は文字通り、松の葉のような色のこと。常緑樹である松は一年を通して緑が絶えないことから、 日本では長寿の象徴と考えられている。正月の松飾りに用いられるように、縁起のよいもの、おめでたい物として松は使われるが、松の緑は特におめでたい色とされてきた。,#6E815C,くすんだ黄緑
カーキー,1Y 5/5.5,19世紀半ば、インドに駐在していたイギリスの部隊が、この色の軍服を採用し、現地の言葉の@@をその色の名にしたとのこと。ミリタリーカラーの始まりである。@@はペルシャ語、ヒンディー語でちり、ほこりのようなという意味。,#9A753A,くすんだ赤みの黄
ビリジアン,8G 4/6,フランス人のギネが1859年に製造特許を登録した水酸化クロームをもとにつくられた絵の具の緑色の名前。ラテン語で緑のヴィリディスから造語された名称である。現在ではクロームグリーンとともに緑色を代表する絵の具の色名である。,#156F5C,くすんだ青みの緑
