name,munsell,description,rgb,systemcolorname
黄蘗色（きはだいろ）,9Y 8/8,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。防虫効果があることから奈良時代から染め紙に用いられ、 藍との重ね染めで緑や藍色の染色にも用いられていた。古来の染色材料を今に記録する伝統的な色名の一つ。,#D9CB65,明るい黄緑
海松色（みるいろ）,9.5Y 4.5/2.5,海藻の一種である@@は、「万葉集」に@@を詠みこんだ歌が出てくるほど、広く知られていたらしい。現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,#736F55,暗い灰みの黄緑
鶸色（ひわいろ）,1GY 7.5/8,黄緑色をした小鳥の@@の羽の色から名づけられた色名。鳥の羽毛からとられた色名としては古く、中世の終わりには用いられていたとされる。カナリヤが渡来する前は唯一の黄色い鳥だったので金翅雀色と書かれている例もある。,#C2C05C,つよい黄緑
常磐色（ときわいろ）,3G 4.5/7,松や杉といった常緑樹の葉のような色を表す色名。常緑樹の葉の色が緑色で年中変わらないところから、永久に変わらない色という美称として用いられた。英語のエバーグリーンの同類である。,#357C4C,こい緑
緑青色（ろくしょういろ）,4G 5/4,石緑(せきりょく)、孔雀(くじゃく)石からつくられる緑色の色名。炭酸銅、 水酸化銅などを主成分とする。銅の錆のような緑色のことでもある。 古来、絵画の緑色絵の具の代表的なものとしても知られている。,#5F836D,くすんだ緑
鉄色（てついろ）,2.5BG 2.5/2.5,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,#244344,ごく暗い青緑
シャトルーズグリーン,4GY 8/10,フランスの@@修道院でつくられたリキュールが色名の起源。 このリキュールには黄色と緑色のものがあり、その緑色のような色を表す。色名はリキュールができた時代よりも新しく、20世紀初頭の流行色の色名である。,#BDD458,明るい黄緑
リーフグリーン,5GY 6/7,@@は葉のことで、木の葉の縁という意味の色名。草色のグラスグリーンとともに自然の気を表すわかりやすい色名の代表的なものである。しかし、草色ほど古くからある色名ではなく、19世紀の新しい名称とされている。,#879D4E,つよい黄緑
グラスグリーン,5GY 5/5,英語の色名としては最古のものの一つ。8世紀以前にはすでに知られていたらしい。@@は草の意味。 日本語の準色は雑草の色だが、英語の@@はどうやら牧草の色らしい。メドウグリーンなど、よく似た色の色名がほかにもある。,#7b8d41,くすんだ黄緑
アップルグリーン,10GY 8/5,日本でリンゴといえば赤だが、英語の@@は@@の色名になっている。この色名が使われ始めた頃は、リンゴといえば縁だったのだろう。アダムとイヴが蛇の誘惑に負けて手にするリンゴも、絵画作品では青リンゴになっているものが多い。,#B0D3A8,やわらかい黄みの緑
ミントグリーン,2.5G 7.5/8,@@とはハッカのこと。この色はハッカの油からつくった酒の色といわれている。西洋ハッカのペパーミントやハッカのスペアミントといったら名もあるが、どちらも緑色を表す。すべて20世紀初の色名で歴史は浅い。,#81CC91,明るい緑
マラカイトグリーン,4G 4.5/9,@@、日本語で孔雀石と呼ばれる鉱石からつくられた緑色の色名。古代エジプトではすでにこの色が知られていて、エジプト人がを守るまじないにこの緑色を目のまわりに塗ったのがアイラインの始まりだという。,#008047,こい緑
ボトルグリーン,5G 2.5/3,酒の輸送に使われるのが樽からガラスのボトルとコルク栓に変わったのは17世紀になってから。そのボトルには緑のガラスが使用された。それが薬瓶などにも普及して緑色の瓶の色が色名になったのは19世紀初め。,#264435,ごく暗い緑
ピーコックグリーン,7.5BG 4.5/9,孔雀の羽の緑色のような色の色名。 本来、@@はブルーの色名で 16世紀の終わりから使用されていた。19世紀にグリーンも色名になったが、どちらで呼ぶのが正しいと決めることはできない。現在はブルーとグリーンの両方が用いられている。,#007F91,あざやかな青緑
ナイルブルー,10BG 5.5/5,1880年代にナイル川の名前がつく色名が登場した。ナイルブルーが先で、その後、ナイルグリーンが色名になった。ナイルが青や緑の川として美化されて記憶されたのだろう。 アメリカの色名辞典ではグリーンのほうが太字で書かれている。,#5190A4,くすんだ青緑
鶯色（うぐいすいろ）,1GY 4.5/3.5,@@の羽毛のような暗い黄緑色の色名。日本語の色名には動物の毛皮から名づけられた色名は少ない。 が、江戸時代になると身近な鳥の羽毛の色を表す色名がよく見られるようになる。この@@もその一つである。,#71714A,くすんだ黄緑
萌黄（もえぎ）,4GY 6.5/9,春に芽吹く若葉のような黄緑色を表す伝統的な色名。@@とも書く。 平安時代以来、新鮮さ、若々しさを象徴する@@色の代表的な色名だったので、今後とも後の世代に伝えていきたい色名の一つである。,#96AA3D,つよい黄緑
若竹色（わかたけいろ）,6G 6/7.5,竹の幹の緑を表す色名の中でも若い竹の色を表現している。成長した竹の色は青竹色、老竹色(おいたけいろ)はくすんだ緑色である。@@の色名は化学染料の時代になってからのもののようである。,#49A581,つよい緑
松葉色（まつばいろ）,7.5GY 5/4,@@は文字通り、松の葉のような色のこと。常緑樹である松は一年を通して緑が絶えないことから、 日本では長寿の象徴と考えられている。正月の松飾りに用いられるように、縁起のよいもの、おめでたい物として松は使われるが、松の緑は特におめでたい色とされてきた。,#6E815C,くすんだ黄緑
青磁色（せいじいろ）,7.5G 6.5/4,中国の唐の時代につくられた@@は、平安時代に日本にも知られて 「秘色(ひそく)」と呼ばれていた。その青い磁器の肌のような色の染色の色名が後に@@と呼ばれるようになった。,#80AA9F,やわらかい青みの緑
オリーブグリーン,2.5GY 3.5/3,@@のつく色名は、イエロー、ブラウン、グリーン、グレイなどがあり、 その色域はかなり広いが、17世紀に初めて英語の色名になったのは@@であった。これが生の実の色なのか葉の色のことなのかはわかっていない。,#565838,暗い灰みの黄緑
コバルトグリーン,4G 7/9,ヨーロッパの画家たちがこの色の絵の具を使うことができるようになったのは19世紀中頃からのことであるが、コバルトによる色はそれ以前に実験によって発見されていた。 この色名はその発見から間もない 18世紀の終わりに出現している。,#5DC288,明るい緑
エメラルドグリーン,4G 6/8,緑の宝石として有名な@@のような色を表す色名。この色の絵の具をつくろうとして、いろいろな緑色が試作され、それぞれがエメラルドグリーンを名のるが、結局19 世紀半ばにクロームグリーンの絵の具の色名として定着した。,#4DA573,つよい緑
ビリジアン,8G 4/6,フランス人のギネが1859年に製造特許を登録した水酸化クロームをもとにつくられた絵の具の緑色の名前。ラテン語で緑のヴィリディスから造語された名称である。現在ではクロームグリーンとともに緑色を代表する絵の具の色名である。,#156F5C,くすんだ青みの緑
