name,munsell,description,rgb,systemcolorname
鴇色（ときいろ）,7RP 7.5/8,@@の翼の内側や風切羽、尾羽などは明るいピンクをしているが、その色からとられた近世和装で流行した色名。@@の体色は一見すると白だが、飛ぶときにはピンクが見える。音は日本各地に生息していたので、人々はその色も知っていたのだろう。,#F9A1D0,明るい紫みの赤
柑子色（こうじいろ）,5.5YR 7.5/9,コウジミカンの実のような色を表す平安時代からの伝統的な色名。 「こうじ」は「かんじ」の変化した語とのこと。蜜柑色(みかんいろ)、オレンジ色などのルーツ。日本語の黄赤を代表する古い色名である。,#FFA75E,明るい黄赤
黄蘗色（きはだいろ）,9Y 8/8,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。防虫効果があることから奈良時代から染め紙に用いられ、 藍との重ね染めで緑や藍色の染色にも用いられていた。古来の染色材料を今に記録する伝統的な色名の一つ。,#D9CB65,明るい黄緑
新橋色（しんばしいろ）,2.5B 6.5/5.5,明治末から大正にかけて流行した、 東京・@@の芸者衆が好んだ着物の色からの色名。@@芸者は新しいもの好きで、彼女たちがいち早く化学染料の色を取り入れたため、それが新鮮に見えたのだろう。 ローカルな町名が色名になった珍しい例。,#69AAC6,明るい緑みの青
藤色（ふじいろ）,10PB 6.5/6.5,@の花房の色からとられた@@は、 明るい青紫を表す代表的な色名。平安時代から使われている伝統的な色名で、清少納言の「枕草子」 の一節にも「めでたきもの」の典型として@の花が登場している。,#A09BD8,明るい青紫
銀鼠（ぎんねず）,N6.5,銀は「しろがね」と呼ばれ、色の形容としては白の美称でもあったので、白に近い灰色の色名になった。 江戸時代の無彩色を代表する色名は灰色ではなく鼠色。昔からグレイがもっていた不吉なイメージを、鼠と呼ぶことで粋な流行色に変えた。,#A0A0A0,明るい灰色
ローズピンク,10RP 7/8,変みを帯びたピンク色のバラの花にちなむ色名。ローズという色名は、 花の名からとられた英語の色名としては最古のものとされ、最初はレッドとピンクの両方を表していた。 JISにはローズレッドという色名もある。,#EF93B6,明るい紫みの赤
シャトルーズグリーン,4GY 8/10,フランスの@@修道院でつくられたリキュールが色名の起源。 このリキュールには黄色と緑色のものがあり、その緑色のような色を表す。色名はリキュールができた時代よりも新しく、20世紀初頭の流行色の色名である。,#BDD458,明るい黄緑
ミントグリーン,2.5G 7.5/8,@@とはハッカのこと。この色はハッカの油からつくった酒の色といわれている。西洋ハッカのペパーミントやハッカのスペアミントといったら名もあるが、どちらも緑色を表す。すべて20世紀初の色名で歴史は浅い。,#81CC91,明るい緑
珊瑚色（さんごいろ）,2.5R 7/11,@@にはさまざまな色があるが、装飾品などで特に珍重されたのがビンク系とされる。そのため明るい赤の色名になった。絵の具の色名として@@珠色が古くから知られていたが、後に@@という色名として慣用されるようになった。,#FF87A0,明るい赤
空色（そらいろ）,9B 7.5/5.5,天候により空の色はさまざまに変わるが、これは晴天の青空の色を表す色名。英語ではスカイブルー。 多くの言語で@@は@@と呼ばれている。古くから一般的な色名として知られている色である。,#95C0EC,明るい青
菖蒲色（あやめいろ）,10P 6/10,アヤメ科の@@の花の色である。@@の名は美しい文目があるところからきている。漢字で書くと菖蒲色となるが、同じ漢字を書くしょうぶ色はサトイモ科の多年草の花のことで、あざやかな青みの紫を表す。,#C27BC8,明るい赤みの紫
ピーチ,3YR 8/3.5,日本語の桃色は花の色を表す色名。英語のピーチ、仏語のベッシュは、どちらも桃の果肉の色を表す色名で、桃色とは色がまるで違う。色名は16世紀の終わり頃から用いられるようになった。,#EBC0AF,明るい灰みの黄赤
ベージュ,10YR 7/2.5,@@は13世紀頃のフランス語で未加工、未漂白、未染色の毛織物の色の名前であった。その前はイタリア語でつめものの綿くずのことだったとも。それが19世紀には流行色の色名として、高級な色のシンボルとされるようになった。,#C1AB96,明るい灰みの赤みを帯びた黄
カナリヤ,7Y 8.5/10,大西洋上の@@、マデイラ、アゾレス諸島が原産地の鳥、@@の羽毛のような黄の色名。日本には18世紀、ヨーロッパには15世紀末に輸入されたが、英語の色名ができたのは18世紀の終わり頃である。,#F7D54E,明るい緑みの黄
コバルトグリーン,4G 7/9,ヨーロッパの画家たちがこの色の絵の具を使うことができるようになったのは19世紀中頃からのことであるが、コバルトによる色はそれ以前に実験によって発見されていた。 この色名はその発見から間もない 18世紀の終わりに出現している。,#5DC288,明るい緑
ターコイズブルー,5B 6/8,@@はトルコ石として知られる宝石で、青と緑の中間色相の色を表す色名としてよく用いられる。 英語の色名になったのは16世紀後半のことで、@@はブルーとグリーンの両方の色名に使われてきた。,#399ECC,明るい緑みの青
シアン,7.5B 6/10,古代ギリシャ語で「暗い」という意味のcyanosという言葉から派生した色名とされている。印刷、カラーフィルム、染色などの減法混色による色再現では、シアンは三原色の一つとしてあげられている。,#219DDD,明るい青
スカイブルー,9B 7.5/5.5,16世紀まで空色は、英語ではスカイまたはスカイカラーと呼ばれた。 @@になったのは18世紀になってから。その頃、空の色を呼び分ける色名がいくつもできた。在天の神を信じる民族には、空色だけではすまなくなったのである。,#95C0EC,明るい青
ベビーブルー,10B 7.5/3,欧米で乳幼児服の標準色として用いられてきた色の色名。ベビーピンクよりも早くから使われていたが、それでも19世紀末のこと。青は聖母マリアの色で、その色を生まれた子どもに着せたいという願いを母親が抱いていたということである。,#ABBDDA,明るい灰みの青
シルバーグレイ,N6.5,日本でも欧米でも銀は白く輝くほど値打ちがあると思われていたので、 シルバーは17世紀までホワイトと呼ばれたり、グレイと呼ばれたりしていたが、どちらも同じ色であった。 炭酸鉛の白色の鉛白の絵の具はシルバーホワイトとされる。,#A0A0A0,明るい灰色
