name,munsell,description,rgb,systemcolorname
弁柄色（べんがらいろ）,8R 3.5/7,インド半島北東部のベンガル地方で産出する天然の酸化鉄からつくった赤色に由来する。ベンガルのあて字なのでいろいろな表記がある。酸化第二鉄を使った色の。 般的な色名として、江戸時代には広く用いられるようになった。,#8A4031,暗い黄みの赤
琥珀色（こはくいろ）,8YR 5.5/6.5,@@は植物の樹脂が化石になったもので、そのような色を表す。古名は赤玉、または「くはく」といった。 日本語の色名で宝石からとられたものは珍しいが、色名として用いられたのは近代のこと。酒類の色を形容するときによく使われる。,#C67400,くすんだ赤みの黄
緑青色（ろくしょういろ）,4G 5/4,石緑(せきりょく)、孔雀(くじゃく)石からつくられる緑色の色名。炭酸銅、 水酸化銅などを主成分とする。銅の錆のような緑色のことでもある。 古来、絵画の緑色絵の具の代表的なものとしても知られている。,#5F836D,くすんだ緑
鉄色（てついろ）,2.5BG 2.5/2.5,焼いた鉄の肌のような暗い緑みの青をなぜか鉄色という。鉄は「くろがね」と通称されるのだが、英語で鉄のアイアンはブルーかグレイである。江戸後期には緑みのある青の鉄紺など、鉄を修飾語にした染色の色名がよく見られる。,#244344,ごく暗い青緑
アンバー,8YR 5.5/6.5,@@は琥珀のこと。この色が琥珀そのものからつくられたわけではなく、琥珀のような色のことをいう。16世紀末にはすでに英語の色名になっていた。日本の琥珀色より、はるかに古いのは宝石文化の違いである。,#B37D40,くすんだ赤みの黄
マラカイトグリーン,4G 4.5/9,@@、日本語で孔雀石と呼ばれる鉱石からつくられた緑色の色名。古代エジプトではすでにこの色が知られていて、エジプト人がを守るまじないにこの緑色を目のまわりに塗ったのがアイラインの始まりだという。,#008047,こい緑
セルリアンブルー,9B 4.5/9,16世紀に英語の色名になった@@はスカイブルーの一種だった。ところが19世紀に錫酸コバルト化合物からつくられた美しい青の絵の具が工場生産されるようになり、 その色に@@の色名が与えられた。,#0B74AF,あざやかな青
珊瑚色（さんごいろ）,2.5R 7/11,@@にはさまざまな色があるが、装飾品などで特に珍重されたのがビンク系とされる。そのため明るい赤の色名になった。絵の具の色名として@@珠色が古くから知られていたが、後に@@という色名として慣用されるようになった。,#FF87A0,明るい赤
朱色（しゅいろ）,6R 5.5/14,硫化水銀を原料とする@@の色を表す色名。人造@@の@@の色は、 東洋で印鑑の@@の色として知られる。これで押した印を朱印といい。 天子の朱印は絶大な権威の象徴で、江戸時代に将軍だけが発行する公文書を朱印状といった。,#ED514E,あざやかな黄みの赤
瑠璃色（るりいろ）,6PB 3.5/11,古代インドや中国で珍重された、青い宝石の瑠璃のような色を表す。 平安初期にはこの色名が生まれている。瑠璃は仏教では七宝の一つにあげられる。おそらく瑠璃は青い宝石ラピスラズリのことである。,#3451A4,こい紫みの青
バーミリオン,6R 5.5/14,硫化水銀を原料とする人造朱の銀朱の色を表す色名。人造朱は9世紀頃のアラビアの錬金術師の発見ともいわれる。16世紀の終わりには安上がりのイミテーションの朱色が登場したというが、どれも色名は@@であった。,#ED514E,あざやかな黄みの赤
コバルトグリーン,4G 7/9,ヨーロッパの画家たちがこの色の絵の具を使うことができるようになったのは19世紀中頃からのことであるが、コバルトによる色はそれ以前に実験によって発見されていた。 この色名はその発見から間もない 18世紀の終わりに出現している。,#5DC288,明るい緑
エメラルドグリーン,4G 6/8,緑の宝石として有名な@@のような色を表す色名。この色の絵の具をつくろうとして、いろいろな緑色が試作され、それぞれがエメラルドグリーンを名のるが、結局19 世紀半ばにクロームグリーンの絵の具の色名として定着した。,#4DA573,つよい緑
ビリジアン,8G 4/6,フランス人のギネが1859年に製造特許を登録した水酸化クロームをもとにつくられた絵の具の緑色の名前。ラテン語で緑のヴィリディスから造語された名称である。現在ではクロームグリーンとともに緑色を代表する絵の具の色名である。,#156F5C,くすんだ青みの緑
ターコイズブルー,5B 6/8,@@はトルコ石として知られる宝石で、青と緑の中間色相の色を表す色名としてよく用いられる。 英語の色名になったのは16世紀後半のことで、@@はブルーとグリーンの両方の色名に使われてきた。,#399ECC,明るい緑みの青
ウルトラマリンブルー,7.5PB 3.5/11,瑠璃という青い宝石は、ヨーロッパへは青い石を意味するラピスラズリとして渡来した。その粉末は貴重な着色剤となり、海の彼方から渡ってきたということを伝える@@という色名が生まれた。,#414FA3,こい紫みの青
