name,munsell,description,rgb,systemcolorname
韓紅花（からくれない）,1.5R 5.5/13,日本で呉(くれ)と呼んだ中国の地域から渡来した染料という意味で、 紅花の赤を「呉藍(くれない)」と呼んでいたことに由来する。平安時代から使われるようになった伝統的な色名。王朝貴族に愛された紅の色だった。,#E3557F,あざやかな赤
蘇芳（すおう）,4R 4/7,インド、マレー半島などを原産地とするマメ科植物の心材を原料とし、 その煎汁を染料として染めた色の色名。マレー語のsapang の音に中国人が漢字をあてたのでいろいろな表記がある。この染料は奈良時代にすでに日本に渡来していた。,#974B52,くすんだ赤
海老茶（えびちゃ）,8R 3/4.5,葡萄(ぶどう)の古名を「@@」といった。平安時代の「@@」は山菊萄の果実のような暗い赤業のこと。 近世に葡萄を「@@」とは読まなくなったので、@@の字が当てられて@@になった。,#6D3D33,暗い黄みの赤
桧皮色（ひわだいろ）,1YR 4.3/4,桧(ひのき)の樹皮のような茶色の色名。ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。平安時代以来の伝統的な色名。,#8A604F,暗い灰みの黄赤
柑子色（こうじいろ）,5.5YR 7.5/9,コウジミカンの実のような色を表す平安時代からの伝統的な色名。 「こうじ」は「かんじ」の変化した語とのこと。蜜柑色(みかんいろ)、オレンジ色などのルーツ。日本語の黄赤を代表する古い色名である。,#FFA75E,明るい黄赤
朽葉色（くちばいろ）,10YR 5/2,朽ちた落ち葉のような色。この色を中心に、赤みがあれば赤朽葉、黄みは黄朽葉、緑みがあれば青朽葉と呼び分けた。ほかにも朽葉のつく色名がいくつかある。伝統的な色名の中でも特に晩秋の季節感が濃厚な、平安中期からの色名。,#897868,灰みの赤みを帯びた黄
鬱金色（うこんいろ）,2Y 7.5/12,ショウガ科の植物である@@の根で染めた黄の色名。@@は原産地の熱帯アジアでは古くから知られていたが、日本では中世末から用いられるようになった。今でも漬物のたくあんの着色やカレー粉の原料などに使用されている。,#FCAC00,つよい黄
刈安色（かりやすいろ）,7Y 8.5/7,奈良時代から黄の染色に用いられてきたイネ科の@@草は、刈りやすいからこの名がつけられたという。単独で黄を染めるほか、緑を染めるための藍の下染めによく用いられた。古来の染色技術から生まれた伝統的な色名。,#EED67E,うすい緑みの黄
黄蘗色（きはだいろ）,9Y 8/8,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。防虫効果があることから奈良時代から染め紙に用いられ、 藍との重ね染めで緑や藍色の染色にも用いられていた。古来の染色材料を今に記録する伝統的な色名の一つ。,#D9CB65,明るい黄緑
海松色（みるいろ）,9.5Y 4.5/2.5,海藻の一種である@@は、「万葉集」に@@を詠みこんだ歌が出てくるほど、広く知られていたらしい。現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,#736F55,暗い灰みの黄緑
