name,munsell,description,rgb,systemcolorname
藤色（ふじいろ）,10PB 6.5/6.5,@の花房の色からとられた@@は、 明るい青紫を表す代表的な色名。平安時代から使われている伝統的な色名で、清少納言の「枕草子」 の一節にも「めでたきもの」の典型として@の花が登場している。,#A09BD8,明るい青紫
江戸紫,3P 3.5/7,紫を染める紫草は武蔵野(現在の東京郊外)でよく知られていた。名物の少ない新興都市江戸では紫の染色は江戸っ子の自慢の色で、 江戸名物を取り上げた蜀山人(しょくさんじん)の狂歌や川柳にも紫が入っている。伝統的な京紫より青みがあるといわれている。,#5F4C86,こい青みの紫
古代紫（こだいむらさき）,7.5P 4/6,江戸紫のような近世の紫は今紫、 それに対して伝統的な昔ながらの紫を古代紫と称した。この区別を必要としたのは今紫(いまむらさき)ができたから、ということでこれも近世の色名ということになる。,#775686,くすんだ紫
ウイスタリア,10PB 5/12,@@は藤の英語名。19世紀末にこの色の化学染料ができたために出現した色名である。同じ藤の花の色を語源とする色に藤色があるが、藤色は明るい青紫。@@は鮮やかな青紫で微妙に違う。,#776ED2,あざやかな青紫
ライラック,6P 7/6,@@の花の色からとられた薄紫の色名。英語の色名として定着したのは、1775年前後とされているが、この時代は紫や赤紫の化学染料がまだ発見されていない。単に@@の花のような色という一般的な色名だったと考えられる。,#C2A2DA,やわらかい紫
桔梗色（ききょういろ）,9PB 3.5/13,@@の花のような青紫色の伝統的な色名。昔は「きかういろ」とも呼ばれたそうである。近世では染色の色名として用いられてきた。旧暦の初秋の気配を感じさせる色名の一つである。,#4A49AD,こい青紫
茄子紺（なすこん）,7.5P 2.5/2.5,黒に近い紫色から連想されるものはやはり@@しかない。英語でも@@を意味するエッグプラントが色名である。染色の色名であるが、近代になって流行した色名といわれている。,#47384F,ごく暗い紫
菖蒲色（あやめいろ）,10P 6/10,アヤメ科の@@の花の色である。@@の名は美しい文目があるところからきている。漢字で書くと菖蒲色となるが、同じ漢字を書くしょうぶ色はサトイモ科の多年草の花のことで、あざやかな青みの紫を表す。,#C27BC8,明るい赤みの紫
牡丹色（ぼたんいろ）,3RP 5/14,@@の花には白、紅、紫、黄などがあるが、@@は紫がかった紅色の花のような色をいう。化学染料が出現する以前の伝統的な色名で、マゼンタのような華やかな@@色を表す和色名はこの@@しかない。,#C24DAE,あざやかな赤紫
バイオレット,2.5P 4/11,青紫系の英語の色名としては最も古いものの一つ。@@はスミレ属の総称で、スミレの花の色を表す色名。可視スペクトルを発見したニュートンは、虹の七色の一番波長が短い色を@@と呼んだ。,#6D52AB,あざやかな青紫
モーブ,5P 4.5/9,人類で初めて化学染料を発見したのはイギリスの化学者パーキンで、 その紫色の染料の色を、フランス語でアオイの意味の@@とした。英語にも同じ意味のマローがあったが、この色は@@の名で知られるようになった。,#835FA8,つよい青みの紫
ラベンダー,5P 6/3,19世紀後半にできた、@@の花のような色を表す色名。この花は水浴の際の香水に用いられたのでラテン語の洗うという意味のラバレ、青みのあることを表すリベレなどから名前がついたとのことである。,#9E8EAE,灰みの青みを帯びた紫
パープル,7.5P 5/12,@@の語源は古代ギリシャ語のポルフォラ、ラテン語のプルプラなどに由来する。英語のパープルは 10世紀頃に生まれたようである。 色の名前が先なのか、古代紫といわれる貝紫を採取するプルプラ貝の名前が先だったのかはわからない。,#A260BF,あざやかな紫
マゼンタ,5RP 5/14,減法混色の三原色の赤紫を表す色名。フランスでこの赤紫色の合成染料が発見されたとき、イタリア統一戦争で同盟軍が@@の戦場で勝利をおさめた。それを記念して、その色をイタリアの地名@@の名で呼ぶようになった。,#C949A2,あざやかな赤紫
