name,munsell,description,rgb,systemcolorname
鴇色（ときいろ）,7RP 7.5/8,@@の翼の内側や風切羽、尾羽などは明るいピンクをしているが、その色からとられた近世和装で流行した色名。@@の体色は一見すると白だが、飛ぶときにはピンクが見える。音は日本各地に生息していたので、人々はその色も知っていたのだろう。,#F9A1D0,明るい紫みの赤
韓紅花（からくれない）,1.5R 5.5/13,日本で呉(くれ)と呼んだ中国の地域から渡来した染料という意味で、 紅花の赤を「呉藍(くれない)」と呼んでいたことに由来する。平安時代から使われるようになった伝統的な色名。王朝貴族に愛された紅の色だった。,#E3557F,あざやかな赤
蘇芳（すおう）,4R 4/7,インド、マレー半島などを原産地とするマメ科植物の心材を原料とし、 その煎汁を染料として染めた色の色名。マレー語のsapang の音に中国人が漢字をあてたのでいろいろな表記がある。この染料は奈良時代にすでに日本に渡来していた。,#974B52,くすんだ赤
鳶色（とびいろ）,7.5R 3.5/5,@@は「とんび」ともいう鳥のことで、 その羽のような色のこと。鳥の羽の色からとられた色名としては鶸色 (ひわいろ)に次いで古いが、それでも近世のこと。江戸時代の前期から用いられるようになった茶色染色の色名。,#7D483E,暗い黄みの赤
海老茶（えびちゃ）,8R 3/4.5,葡萄(ぶどう)の古名を「@@」といった。平安時代の「@@」は山菊萄の果実のような暗い赤業のこと。 近世に葡萄を「@@」とは読まなくなったので、@@の字が当てられて@@になった。,#6D3D33,暗い黄みの赤
弁柄色（べんがらいろ）,8R 3.5/7,インド半島北東部のベンガル地方で産出する天然の酸化鉄からつくった赤色に由来する。ベンガルのあて字なのでいろいろな表記がある。酸化第二鉄を使った色の。 般的な色名として、江戸時代には広く用いられるようになった。,#8A4031,暗い黄みの赤
黄丹（おうに）,10R 6/12,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。「おうたん」とも読む。紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色(きんじき)とされていた。,#EF6D3E,つよい黄赤
桧皮色（ひわだいろ）,1YR 4.3/4,桧(ひのき)の樹皮のような茶色の色名。ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。平安時代以来の伝統的な色名。,#8A604F,暗い灰みの黄赤
代赭（たいしゃ）,2.5YR 5/8.5,天然の土からつくる絵の具の原料として、東洋では中国の山西省代州産の赭土(あかつち)が有名で、その土の酸化鉄を使った絵の具の色を@@色と呼んだ。やがて代赭は一般の酸化鉄を使った絵の具の通称になった。,#BA6432,くすんだ黄赤
柑子色（こうじいろ）,5.5YR 7.5/9,コウジミカンの実のような色を表す平安時代からの伝統的な色名。 「こうじ」は「かんじ」の変化した語とのこと。蜜柑色(みかんいろ)、オレンジ色などのルーツ。日本語の黄赤を代表する古い色名である。,#FFA75E,明るい黄赤
ローズピンク,10RP 7/8,変みを帯びたピンク色のバラの花にちなむ色名。ローズという色名は、 花の名からとられた英語の色名としては最古のものとされ、最初はレッドとピンクの両方を表していた。 JISにはローズレッドという色名もある。,#EF93B6,明るい紫みの赤
バーガンディ,10RP 2/2.5,フランスのブルゴーニュ産の赤ワインのような色を表す色名。@@はブルゴーニュの英語名。色名の誕生は1915年と新しい。,#452A35,ごく暗い紫みの赤
オールドローズ,1R 6/6.5,イギリスのビクトリア朝でもてはやされた流行色の色名。英語の色名にオールドという形容がつくと、古い、昔の、という連想から、くすんだ色、グレイッシュな色ということになる。つまりややくすんだ灰みのバラ色ということ。,#C97F96,やわらかい赤
ポピーレッド,4R 5/14,@@は日本語ではヒナゲシのこと。 イギリスでは麦畑に自生するありぶれた花らしい。花の色には赤、ピンク、白などがあるが、そのうちの赤い花が英語の色名として選ばれた。 色名になったのは比較的早く、 1705年といわれている。,#DD4157,あざやかな赤
マルーン,5R 2.5/6,スペイン産の大粒の栗の名前がイタリア語でマローネ、フランス語でマロン、さらに英語で@@という色名になった。英語には栗の実の表皮の色のような茶色を表すチェスナットブラウンがあるが、@@はそれより赤みのある色をいう。,#682A2B,暗い赤
テラコッタ,7.5R 4.5/8,イタリア語で「焼いた土」の意味だが、素焼きの陶器などの色のこともいう。@@は古くから用いられていたが、それが英語の色名に取り入れられたのは19世紀の終わり頃のこと。比較的新しい色名である。,#AC5647,くすんだ黄みの赤
バーントシェンナ,10R 4.5/7.5,イタリアのトスカナ地方は美しい土の採掘場として昔から知られていた。 その中心都市がシエナで、そこから名づけられたシェンナ土を焼いて赤みのある褐色絵の具にしたものを@@と呼び、その絵の具のような色をいう色名。,#A8593C,くすんだ黄赤
ローシェンナ,4YR 5/9,美しい土の採掘場として昔から有名なイタリアのトスカナ地方。そこの土はその中心都市シエナの名前で呼ばれ、絵の具の原料として用いられた。フレスコ画には重要な絵の具で、その色名が@@。ロ一は「そのまま」という意味。,#BB6421,つよい黄赤
タン,6YR 5/6,カシ、ナラなどの樹皮から採取した汁はタンニン酸を含み、獣皮をなめすのに使用された。そのなめし革が@@革であり、その色が@@と呼ばれた。16世紀にはすでに英語の他名として記録されている。,#A56F3F,くすんだ黄赤
桜色（さくらいろ）,10RP 9/2.5,満開の山桜の花のような淡いピンクの色名。平安時代を通じて最も愛好された色名であり、「古今和歌集」にも登場している。この時代以降、桜色は詩歌の中に定着した。 染色の色名としては紅染めの中で最も淡い色調の色が桜色と呼ばれている。,#FFDBED,ごくうすい紫みの赤
珊瑚色（さんごいろ）,2.5R 7/11,@@にはさまざまな色があるが、装飾品などで特に珍重されたのがビンク系とされる。そのため明るい赤の色名になった。絵の具の色名として@@珠色が古くから知られていたが、後に@@という色名として慣用されるようになった。,#FF87A0,明るい赤
紅梅色（こうばいいろ）,2.5R 6.5/7.5,@@の花のようなピンクの色名。 平安時代には冬から春にかけての色として愛好された。色が豊富な春の盛りには、@@はややくどいと感じられたのか、清少納言は「すさまじき」色とし、見飽きのする色とも述べている。,#E08899,やわらかい赤
茜色（あかねいろ）,4R 3.5/11,@@は日本の山野にも自生するつる草。その根を原料とする染料で染めた濃い赤を表す色名。@@に照りはえる、という意味の枕詞「あかねさす」は、「万葉集」にも用いられた。日本で最古の植物染料の一つとして知られる。,#A0283A,こい赤
朱色（しゅいろ）,6R 5.5/14,硫化水銀を原料とする@@の色を表す色名。人造@@の@@の色は、 東洋で印鑑の@@の色として知られる。これで押した印を朱印といい。 天子の朱印は絶大な権威の象徴で、江戸時代に将軍だけが発行する公文書を朱印状といった。,#ED514E,あざやかな黄みの赤
煉瓦色（れんがいろ）,10R 4/7,@@にはいろいろな色調のものがあるが、代表的なのは赤@@の色。英語の色名でも「赤@@色」を意味するブリックレッドが古い。日本人がこの色名になじむようになったのは明治の文明開化以降のこと。,#974E33,暗い黄赤
栗色（くりいろ）,2YR 3.5/4,@@の実の表皮のような色のこと。 「栗皮色」という別名もあるが、これらは中世から近世にかけての呼び方。平安時代は「落栗(おちぐり)」 という名称で、秋の色目だった。,#754C38,暗い灰みの黄赤
牡丹色（ぼたんいろ）,3RP 5/14,@@の花には白、紅、紫、黄などがあるが、@@は紫がかった紅色の花のような色をいう。化学染料が出現する以前の伝統的な色名で、マゼンタのような華やかな@@色を表す和色名はこの@@しかない。,#C24DAE,あざやかな赤紫
ワインレッド,10RP 3/9,赤ワインのような色を表す英語の色名。ワインの歴史は非常に古いが、英語でこい紫みの赤の色調を表現する色名になったのは18世紀のことで比較的新しく、その当初からワインカラーといえば赤ワインの色のことであった。,#83274E,こい紫みの赤
