name,munsell,description,rgb,systemcolorname
黄丹（おうに）,10R 6/12,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。「おうたん」とも読む。紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色(きんじき)とされていた。,#EF6D3E,つよい黄赤
鬱金色（うこんいろ）,2Y 7.5/12,ショウガ科の植物であるウコンの根で染めた黄の色名。ウコンは原産地の熱帯アジアでは古くから知られていたが、日本では中世末から用いられるようになった。今でも漬物のたくあんの着色やカレー粉の原料などに使用されている。,#FCAC00,つよい黄
鶸色（ひわいろ）,1GY 7.5/8,黄緑色をした小鳥のヒワの羽の色から名づけられた色名。鳥の羽毛からとられた色名としては古く、中世の終わりには用いられていたとされる。カナリヤが渡来する前は唯一の黄色い鳥だったので金翅雀色と書かれている例もある。,#C2C05C,つよい黄緑
納戸色（なんどいろ）,4B 4/6,納戸(物置部屋)の暗がりの色、納戸の幕の色、納戸方の役人の衣服の色など、この色名の説明には諸説があるが、一度にたくさん藍染めをしてそれを納戸にしまっておいたから、という説もある。江戸時代の代表的な藍染めの青の色名。「御納戸色」ともいう。,#166A88,つよい緑みの青
縹色（はなだいろ）,3PB 4/7.5,藍染めの代表的な青を表す色名。標は漂から転じた字で藍汁の中に糸がただようことを表していたといわれる。奈良時代からの古い色名だが、中世には花田と書くようになり、近世には花色になった。この花は露草の青い花のことである。,#3C639B,つよい青
ローシェンナ,4YR 5/9,美しい土の採掘場として昔から有名なイタリアのトスカナ地方。そこの土はその中心都市シエナの名前で呼ばれ、絵の具の原料として用いられた。フレスコ画には重要な絵の具で、その色名がローシェンナ。ロ一は「そのまま」という意味。,#BB6421,つよい黄赤
ゴールデンイエロー,7.5YR 7/10,ルネッサンス初期の絵画では聖人を表す光輪は金粉を使った絵の具で描かれていたが、盛期には黄金の輝きに黄の絵の具が使われた。ゴールドもイエローも語源は同じだが、16世紀頃に金色を感じさせる黄をこの名で呼ぶようになった。,#F39A38,つよい赤みの黄
ネーブルスイエロー,2.5Y 8/7.5,「ナポリの黄」という意味。ネーブルスはイタリアのナポリの英語名。中世にはナポリで用いられていたというこの黄の絵の具は、ナポリ湾岸のヴェスヴィアス火山の鉱物からつくられたと信じられていたので、この名で知られることになった。,#F2C26B,つよい黄
リーフグリーン,5GY 6/7,リーフは葉のことで、木の葉の縁という意味の色名。草色のグラスグリーンとともに自然の気を表すわかりやすい色名の代表的なものである。しかし、草色ほど古くからある色名ではなく、19世紀の新しい名称とされている。,#879D4E,つよい黄緑
萌黄（もえぎ）,4GY 6.5/9,春に芽吹く若葉のような黄緑色を表す伝統的な色名。萌葱とも書く。 平安時代以来、新鮮さ、若々しさを象徴する黄緑色の代表的な色名だったので、今後とも後の世代に伝えていきたい色名の一つである。,#96AA3D,つよい黄緑
若竹色（わかたけいろ）,6G 6/7.5,竹の幹の緑を表す色名の中でも若い竹の色を表現している。成長した竹の色は青竹色、老竹色(おいたけいろ)はくすんだ緑色である。若竹色の色名は化学染料の時代になってからのもののようである。,#49A581,つよい緑
エメラルドグリーン,4G 6/8,緑の宝石として有名なエメラルドのような色を表す色名。この色の絵の具をつくろうとして、いろいろな緑色が試作され、それぞれがエメラルドグリーンを名のるが、結局19 世紀半ばにクロームグリーンの絵の具の色名として定着した。,#4DA573,つよい緑
モーブ,5P 4.5/9,人類で初めて化学染料を発見したのはイギリスの化学者パーキンで、 その紫色の染料の色を、フランス語でアオイの意味のモープとした。英語にも同じ意味のマローがあったが、この色はモープの名で知られるようになった。,#835FA8,つよい青みの紫
