name,munsell,description,rgb,systemcolorname
韓紅花（からくれない）,1.5R 5.5/13,日本で呉(くれ)と呼んだ中国の地域から渡来した染料という意味で、 紅花の赤を「呉藍(くれない)」と呼んでいたことに由来する。平安時代から使われるようになった伝統的な色名。王朝貴族に愛された紅の色だった。,#E3557F,あざやかな赤
ポピーレッド,4R 5/14,ポピーは日本語ではヒナゲシのこと。 イギリスでは麦畑に自生するありぶれた花らしい。花の色には赤、ピンク、白などがあるが、そのうちの赤い花が英語の色名として選ばれた。 色名になったのは比較的早く、 1705年といわれている。,#DD4157,あざやかな赤
ジョンブリアン,5Y 8.5/14,フランス語で「輝かしい黄色」を意味する色名。中世にナポリの黄として知られていた絵の具に代わって、 新しい黄の絵の具がつくられるようになり、それにこの色名が与えられた。今は鮮やかな黄を示す。,#FFCC00,あざやかな黄
ピーコックグリーン,7.5BG 4.5/9,孔雀の羽の緑色のような色の色名。 本来、ピーコックはブルーの色名で 16世紀の終わりから使用されていた。19世紀にグリーンも色名になったが、どちらで呼ぶのが正しいと決めることはできない。現在はブルーとグリーンの両方が用いられている。,#007F91,あざやかな青緑
セルリアンブルー,9B 4.5/9,16世紀に英語の色名になったセルリアンはスカイブルーの一種だった。ところが19世紀に錫酸コバルト化合物からつくられた美しい青の絵の具が工場生産されるようになり、 その色にセルリアンブルーの色名が与えられた。,#0B74AF,あざやかな青
ウイスタリア,10PB 5/12,ウイスタリアは藤の英語名。19世紀末にこの色の化学染料ができたために出現した色名である。同じ藤の花の色を語源とする色に藤色があるが、藤色は明るい青紫。ウイスタリアは鮮やかな青葉で微妙に違う。,#776ED2,あざやかな青紫
朱色（しゅいろ）,6R 5.5/14,硫化水銀を原料とする銀朱の色を表す色名。人造朱の銀朱の色は、 東洋で印鑑の朱肉の色として知られる。これで押した印を朱印といい。 天子の朱印は絶大な権威の象徴で、江戸時代に将軍だけが発行する公文書を朱印状といった。,#ED514E,あざやかな黄みの赤
山吹色（やまぶきいろ）,10YR 7.5/13,山吹の花のような鮮やかな黄を表す色名。黄色の花から名づけられた伝統的な色名は山吹色くらいしかない。平安文学では黄の色相を代表する色名で、後には黄金の大判、小判の形容になった。,#FFA500,あざやかな赤みの黄
浅葱色（あさぎいろ）,2.5B 5/8,染色の色名としては青と緑の中間色相を表す。平安時代に薄い黄染めを表す浅黄という色名があり、紛らわしいとされた。浅葱色は葱(ねぎ)の若芽のような色という意味。 葱の色より青寄りの色で、明るい藍染めの色の色名として用いられた。,#0087AA,あざやかな緑みの青
杜若色（かきつばたいろ）,7PB 4/10,アヤメ科の植物であるカキツバタの花のような色のこと。5~6月の初夏に咲く花で、花の色は一般的に青紫とされることが多い。この花の汁を擦りつけて布を染めていたことから、古くは「書きつけ花」と呼ばれており、それが転じて杜若(かきつばた)となったといわれる。,#4C5DAB,あざやかな紫みの青
牡丹色（ぼたんいろ）,3RP 5/14,牡丹の花には白、紅、紫、黄などがあるが、牡丹色は紫がかった紅色の花のような色をいう。化学染料が出現する以前の伝統的な色名で、マゼンタのような華やかな赤紫色を表す和色名はこの牡丹色しかない。,#C24DAE,あざやかな赤紫
カーマイン,4R 4/14,日本の真紅は紅花染めだが、西洋の真紅は中南米のサボテンに寄生する介殻虫(かいがらむし)のコチニールから採取された動物性染料の赤。 コロンブスの新大陸発見によってヨーロッパにもたらされた。16世紀から色名になったとされる。,#BE1E3E,あざやかな赤
バーミリオン,6R 5.5/14,硫化水銀を原料とする人造朱の銀朱の色を表す色名。人造朱は9世紀頃のアラビアの錬金術師の発見ともいわれる。16世紀の終わりには安上がりのイミテーションの朱色が登場したというが、どれも色名はバーミリオンであった。,#ED514E,あざやかな黄みの赤
スカーレット,7R 5/14,英語の色名としては13世紀には誕生していた。中世ラテン語のスカルラトゥム、さらにさかのぼればベルシャ語の織物の名前だったといわれている。日本語の緋色(ひいろ)に相当するとされる。,#DE4335,あざやかな黄みの赤
マリーゴールド,8YR 7.5/13,マリーゴールドの花のような色を表す、英米ではポピュラーな伝統的な色名。色名になったのは17世紀半ば頃。いわば西洋の山吹色であるが、色名にゴールドを含むこの色と、 小判の形容になる山吹色が共通過するのは黄金の色の連想である。,#FFA000,あざやかな赤みの黄
レモンイエロー,8Y 8/12,レモンイエローは緑みの黄の色名であるが、この色の絵の具が登場したのは19世紀後半。この時代にクロームイエローとカドミウムイエロ一の絵の具が生産されるようになり、その中の緑みの黄の絵の具の色の色名になった。,#E8C800,あざやかな緑みの黄
コバルトブルー,3PB 4/10,コバルトアルミン酸塩を主成分とするこの色が1777年に発見されたときに色名は登場。多くの画家達がこの色の絵の具を使うことができるようになったのは19世紀中頃から。印象派の画家たちが恩恵を一番受けた。海の色の形容に用いることも多い色名。,#2863AB,あざやかな青
バイオレット,2.5P 4/11,青紫系の英語の色名としては最も古いものの一つ。バイオレットはスミレ属の総称で、スミレの花の色を表す色名。可視スペクトルを発見したニュートンは、虹の七色の一番波長が短い色をバイオレットと呼んだ。,#6D52AB,あざやかな青紫
パープル,7.5P 5/12,パーブルの語源は古代ギリシャ語のポルフォラ、ラテン語のプルプラなどに由来する。英語のパープルは 10世紀頃に生まれたようである。 色の名前が先なのか、古代紫といわれる貝紫を採取するプルプラ貝の名前が先だったのかはわからない。,#A260BF,あざやかな紫
マゼンタ,5RP 5/14,減法混色の三原色の赤紫を表す色名。フランスでこの赤紫色の合成染料が発見されたとき、イタリア統一戦争で同盟軍がマゼンタの戦場で勝利をおさめた。それを記念して、その色をイタリアの地名マゼンタの名で呼ぶようになった。,#C949A2,あざやかな赤紫
