name,munsell,description,rgb,systemcolorname
黄丹（おうに）,10R 6/12,古代に皇太子の礼服として制定され、現在まで続いている染色の色名。「おうたん」とも読む。紅花とクチナシで染めたオレンジ色で、長い間、臣下の服色としては使えない禁色(きんじき)とされていた。,#EF6D3E,つよい黄赤
桧皮色（ひわだいろ）,1YR 4.3/4,桧(ひのき)の樹皮のような茶色の色名。ヒノキの樹皮を染料にしたわけではなく、黒みのある蘇芳の染色の色名といわれている。平安時代以来の伝統的な色名。,#8A604F,暗い灰みの黄赤
代赭（たいしゃ）,2.5YR 5/8.5,天然の土からつくる絵の具の原料として、東洋では中国の山西省代州産の赭土(あかつち)が有名で、その土の酸化鉄を使った絵の具の色を@@色と呼んだ。やがて代赭は一般の酸化鉄を使った絵の具の通称になった。,#BA6432,くすんだ黄赤
柑子色（こうじいろ）,5.5YR 7.5/9,コウジミカンの実のような色を表す平安時代からの伝統的な色名。 「こうじ」は「かんじ」の変化した語とのこと。蜜柑色(みかんいろ)、オレンジ色などのルーツ。日本語の黄赤を代表する古い色名である。,#FFA75E,明るい黄赤
琥珀色（こはくいろ）,8YR 5.5/6.5,@@は植物の樹脂が化石になったもので、そのような色を表す。古名は赤玉、または「くはく」といった。 日本語の色名で宝石からとられたものは珍しいが、色名として用いられたのは近代のこと。酒類の色を形容するときによく使われる。,#C67400,くすんだ赤みの黄
朽葉色（くちばいろ）,10YR 5/2,朽ちた落ち葉のような色。この色を中心に、赤みがあれば赤朽葉、黄みは黄朽葉、緑みがあれば青朽葉と呼び分けた。ほかにも朽葉のつく色名がいくつかある。伝統的な色名の中でも特に晩秋の季節感が濃厚な、平安中期からの色名。,#897868,灰みの赤みを帯びた黄
鬱金色（うこんいろ）,2Y 7.5/12,ショウガ科の植物である@@の根で染めた黄の色名。@@は原産地の熱帯アジアでは古くから知られていたが、日本では中世末から用いられるようになった。今でも漬物のたくあんの着色やカレー粉の原料などに使用されている。,#FCAC00,つよい黄
刈安色（かりやすいろ）,7Y 8.5/7,奈良時代から黄の染色に用いられてきたイネ科の@@草は、刈りやすいからこの名がつけられたという。単独で黄を染めるほか、緑を染めるための藍の下染めによく用いられた。古来の染色技術から生まれた伝統的な色名。,#EED67E,うすい緑みの黄
黄蘗色（きはだいろ）,9Y 8/8,ミカン科の樹木キハダの樹皮の内皮の黄色素を染料として染めた色の色名。防虫効果があることから奈良時代から染め紙に用いられ、 藍との重ね染めで緑や藍色の染色にも用いられていた。古来の染色材料を今に記録する伝統的な色名の一つ。,#D9CB65,明るい黄緑
海松色（みるいろ）,9.5Y 4.5/2.5,海藻の一種である@@は、「万葉集」に@@を詠みこんだ歌が出てくるほど、広く知られていたらしい。現在では一般的になじみがなくなってしまったが、中世以降はオリーブグリーンの色あいを表す、伝統的な色名の代表だった。,#736F55,暗い灰みの黄緑
鶸色（ひわいろ）,1GY 7.5/8,黄緑色をした小鳥の@@の羽の色から名づけられた色名。鳥の羽毛からとられた色名としては古く、中世の終わりには用いられていたとされる。カナリヤが渡来する前は唯一の黄色い鳥だったので金翅雀色と書かれている例もある。,#C2C05C,つよい黄緑
茶鼠（ちゃねずみ）,5YR 6/1,華美を禁じられた江戸時代に、四十八茶百鼠(しじゅうはっちゃひゃくねず)として大流行した、粋とされた色の一つ。当時は茶気鼠(ちゃけねず) といわれた。茶色みの灰色のことであるが、系統色名では黄赤みの灰色となっている。,#9F9190,黄赤みの灰色
バーントシェンナ,10R 4.5/7.5,イタリアのトスカナ地方は美しい土の採掘場として昔から知られていた。 その中心都市がシエナで、そこから名づけられたシェンナ土を焼いて赤みのある褐色絵の具にしたものを@@と呼び、その絵の具のような色をいう色名。,#A8593C,くすんだ黄赤
ローシェンナ,4YR 5/9,美しい土の採掘場として昔から有名なイタリアのトスカナ地方。そこの土はその中心都市シエナの名前で呼ばれ、絵の具の原料として用いられた。フレスコ画には重要な絵の具で、その色名が@@。ロ一は「そのまま」という意味。,#BB6421,つよい黄赤
タン,6YR 5/6,カシ、ナラなどの樹皮から採取した汁はタンニン酸を含み、獣皮をなめすのに使用された。そのなめし革が@@革であり、その色が@@と呼ばれた。16世紀にはすでに英語の他名として記録されている。,#A56F3F,くすんだ黄赤
エクルベイジュ,7.5YR 8.5/4,@@も@@もフランス語。@@は「さらしていない」「生の」という意味。@@も未加工の羊毛のような色のことで、二つあわせても生成りの色ということ。それが19 世紀にファッションカラーとなり、流行色の色名になった。,#F8CFAE,うすい赤みの黄
ゴールデンイエロー,7.5YR 7/10,ルネッサンス初期の絵画では聖人を表す光輪は金粉を使った絵の具で描かれていたが、盛期には黄金の輝きに黄の絵の具が使われた。@@も@@も語源は同じだが、16世紀頃に金色を感じさせる黄をこの名で呼ぶようになった。,#F39A38,つよい赤みの黄
アンバー,8YR 5.5/6.5,@@は琥珀のこと。この色が琥珀そのものからつくられたわけではなく、琥珀のような色のことをいう。16世紀末にはすでに英語の色名になっていた。日本の琥珀色より、はるかに古いのは宝石文化の違いである。,#B37D40,くすんだ赤みの黄
バーントアンバー,10YR 3/3,@@はイタリアのウンプリア地方の英語名といわれる。 トスカナと並んでウンブリアの土も色が美しく、天然の顔料として西洋諸国で有名だった。その土を焼いて暗褐色にした絵の具の色で、画家のパレットには欠かせないものだった。,#5B462A,ごく暗い赤みの黄
ローアンバー,2.5Y 4/6,@@は絵の具の原料に使われるイタリアのウンプリア地方の土のこと。ローは「そのまま」という意味。その土の色あいが欧米各国でも好まれるようになり、英語の色名になった。特に英米では家の壁の色によく用いられる。,#7F5C13,暗い黄
ネーブルスイエロー,2.5Y 8/7.5,「ナポリの黄」という意味。@@はイタリアのナポリの英語名。中世にはナポリで用いられていたというこの黄の絵の具は、ナポリ湾岸のヴェスヴィアス火山の鉱物からつくられたと信じられていたので、この名で知られることになった。,#F2C26B,つよい黄
ジョンブリアン,5Y 8.5/14,フランス語で「輝かしい黄色」を意味する色名。中世にナポリの黄として知られていた絵の具に代わって、 新しい黄の絵の具がつくられるようになり、それにこの色名が与えられた。今は鮮やかな黄を示す。,#FFCC00,あざやかな黄
シャトルーズグリーン,4GY 8/10,フランスの@@修道院でつくられたリキュールが色名の起源。 このリキュールには黄色と緑色のものがあり、その緑色のような色を表す。色名はリキュールができた時代よりも新しく、20世紀初頭の流行色の色名である。,#BDD458,明るい黄緑
リーフグリーン,5GY 6/7,@@は葉のことで、木の葉の縁という意味の色名。草色のグラスグリーンとともに自然の気を表すわかりやすい色名の代表的なものである。しかし、草色ほど古くからある色名ではなく、19世紀の新しい名称とされている。,#879D4E,つよい黄緑
グラスグリーン,5GY 5/5,英語の色名としては最古のものの一つ。8世紀以前にはすでに知られていたらしい。@@は草の意味。 日本語の準色は雑草の色だが、英語の@@はどうやら牧草の色らしい。メドウグリーンなど、よく似た色の色名がほかにもある。,#7b8d41,くすんだ黄緑
煉瓦色（れんがいろ）,10R 4/7,@@にはいろいろな色調のものがあるが、代表的なのは赤@@の色。英語の色名でも「赤@@色」を意味するブリックレッドが古い。日本人がこの色名になじむようになったのは明治の文明開化以降のこと。,#974E33,暗い黄赤
栗色（くりいろ）,2YR 3.5/4,@@の実の表皮のような色のこと。 「栗皮色」という別名もあるが、これらは中世から近世にかけての呼び方。平安時代は「落栗(おちぐり)」 という名称で、秋の色目だった。,#754C38,暗い灰みの黄赤
山吹色（やまぶきいろ）,10YR 7.5/13,@@の花のような鮮やかな黄を表す色名。黄色の花から名づけられた伝統的な色名は@@くらいしかない。平安文学では黄の色相を代表する色名で、後には黄金の大判、小判の形容になった。,#FFA500,あざやかな赤みの黄
黄土色（おうどいろ）,10YR 6/7.5,日本画の黄土は水酸化鉄を含む泥土からつくられた絵の具。天然の土である黄土の色の色名でもあるが、黄土は地球の北半球のほとんどでみられる。英語の色名ではイエローオーカーになる。,#C18A39,くすんだ赤みの黄
芥子色（からしいろ）,3Y 7/6,おでんなどでよく使われる練り@@の色で、ややくすんだ黄である。 練りからしは、カラシナの種子を粉にして練ったもの。英語ではマスタードやマスタードイエローと呼ばれるが、これらの色名はJIS規格にはない。,#CDA966,やわらかい黄
鶯色（うぐいすいろ）,1GY 4.5/3.5,@@の羽毛のような暗い黄緑色の色名。日本語の色名には動物の毛皮から名づけられた色名は少ない。 が、江戸時代になると身近な鳥の羽毛の色を表す色名がよく見られるようになる。この@@もその一つである。,#71714A,くすんだ黄緑
萌黄（もえぎ）,4GY 6.5/9,春に芽吹く若葉のような黄緑色を表す伝統的な色名。@@とも書く。 平安時代以来、新鮮さ、若々しさを象徴する@@色の代表的な色名だったので、今後とも後の世代に伝えていきたい色名の一つである。,#96AA3D,つよい黄緑
松葉色（まつばいろ）,7.5GY 5/4,@@は文字通り、松の葉のような色のこと。常緑樹である松は一年を通して緑が絶えないことから、 日本では長寿の象徴と考えられている。正月の松飾りに用いられるように、縁起のよいもの、おめでたい物として松は使われるが、松の緑は特におめでたい色とされてきた。,#6E815C,くすんだ黄緑
チョコレート,10R 2.5/2.5,コロンブスがカカオ豆をスペインにもち帰ったのは1502年。ヨーロッバ人の好みにあうようになったのは 17世紀後半で、18世紀前半に色名としても使われるようになった。 黒に近い色を表す色名になったのは20世紀の初めである。,#52372F,ごく暗い黄赤
ピーチ,3YR 8/3.5,日本語の桃色は花の色を表す色名。英語のピーチ、仏語のベッシュは、どちらも桃の果肉の色を表す色名で、桃色とは色がまるで違う。色名は16世紀の終わり頃から用いられるようになった。,#EBC0AF,明るい灰みの黄赤
マリーゴールド,8YR 7.5/13,マリーゴールドの花のような色を表す、英米ではポピュラーな伝統的な色名。色名になったのは17世紀半ば頃。いわば西洋の山吹色であるが、色名にゴールドを含むこの色と、 小判の形容になる山吹色が共通過するのは黄金の色の連想である。,#FFA000,あざやかな赤みの黄
ベージュ,10YR 7/2.5,@@は13世紀頃のフランス語で未加工、未漂白、未染色の毛織物の色の名前であった。その前はイタリア語でつめものの綿くずのことだったとも。それが19世紀には流行色の色名として、高級な色のシンボルとされるようになった。,#C1AB96,明るい灰みの赤みを帯びた黄
セピア,10YR 2.5/2,イカが墨を出す墨汁嚢(のう)からつくった古代の絵の具の名前であった。もとはギリシャ語で、ラテン語を経由して英語の色名として定着した。イカ墨は古代には文字を書くインクとして広く用いられたが、今は化学製品になっている。,#4A3B2A,ごく暗い赤みの黄
カーキー,1Y 5/5.5,19世紀半ば、インドに駐在していたイギリスの部隊が、この色の軍服を採用し、現地の言葉の@@をその色の名にしたとのこと。ミリタリーカラーの始まりである。@@はペルシャ語、ヒンディー語でちり、ほこりのようなという意味。,#9A753A,くすんだ赤みの黄
ブロンド,2Y 7.5/7,11世紀頃のフランス語の色名に由来するが、起源は古ゲルマン語で、 単に明るい色という意味だったようである。それが主に金髪を表す特殊な色名になった。英語の色名としても15世紀には使われていたようである。,#E3B466,やわらかい黄
クリームイエロー,5Y 8.5/3.5,乳製品として広く普及しているクリームの色。中世には英、仏語ですでに色名になっていた。日本ではおそらく中国語経由で酥色(そしょく) という色名が入り、明治初期の教科書に紹介されている。クリームは今では大変一般的な色名である。,#E8D5AF,ごくうすい黄
